id,source_id,name,type_name,secteur_chefferie_commune_id
187,177,INTU NZADI,G,22
188,178,KAMWENI,G,22
189,179,KAPAY,G,22
190,199,KASANDJI,G,15
191,201,KAYOMBO,G,15
192,202,KIBANDA,G,15
193,203,KIBWILA,G,15
194,204,KIDIMA,G,15
195,205,KIVUNDISA,G,15
196,206,KOBO,G,15
197,207,LUKUNDA,G,15
198,208,MIKUMBI,G,15
199,209,MISELE,G,15
200,210,MUKATA,G,15
201,211,MUKONDO,G,15
202,212,MUNENE,G,15
203,213,MWAMBU,G,15
204,214,MWELA TSAY,G,15
205,215,NZAU MUSETU,G,15
206,217,SWA-BANGU,G,15
207,218,SWA-KAHUMBA,G,15
208,219,SWA-KASONGO,G,15
209,220,SWA-MBUYA,G,15
210,221,SWA-YAMFU,G,15
211,224,KABEYA ILUNGA,G,24
212,225,KASINZI,G,24
213,226,KIALA BAKA,G,24
214,227,MALAMBU KABOBILA,G,24
215,228,MBONDI MFUMU,G,24
216,229,MUKUKULU,G,24
217,230,ZUWULU,G,24
218,231,IKOMBA,G,25
219,232,ILWANDA,G,25
220,233,KABAMA,G,25
221,234,KATOTA,G,25
222,235,KOSI-MOYO,G,25
223,236,LUSANGA,G,25
224,237,NGOWA,G,25
225,238,IKOMBA,G,26
226,239,IMWELA,G,26
227,240,ITENGA,G,26
228,241,KABAKA,G,26
229,242,KANGU,G,26
230,243,KIAMVU KINZADI,G,26
231,244,MBULU TSHIALA,G,26
232,245,MUNENE SAKAVUNDA,G,26
233,246,MUNENE TSEKE,G,26
234,247,NZOFO,G,26
235,248,BATERE,G,27
236,249,KIBWADI LEY,G,27
237,250,KINKUKU,G,27
238,251,KINSOMO,G,27
239,252,KIPATA,G,27
240,253,MBELO,G,27
241,254,MBWANZIE,G,27
242,255,MBWASA,G,27
243,256,NDANA,G,27
244,257,NKWA,G,27
245,258,NTUMU,G,27
246,259,PANGA,G,27
247,260,BUKUY,G,28
248,261,KIMWANA,G,28
249,262,MAKWA,G,28
250,263,MALU,G,28
251,264,MBEE,G,28
252,265,MBENO,G,28
253,266,MPWONO,G,28
254,267,MUNDAY,G,28
255,268,PENTANE,G,28
256,269,MAKA  MAKASUEKA,G,29
257,270,MBAKA  KASAI,G,29
258,271,MBALA  NGUDI,G,29
259,272,MBAMBI  WUBA (LUMA),G,29
260,273,MBAYA  MAMVULA,G,29
261,274,MBAYA  SALIKOKO,G,29
262,275,MBENDE  SAMPIER,G,29
263,276,MBENE  KASAI,G,29
264,277,MPANA MBAMITI (BAMBI  ITUMBA),G,29
265,278,SOKO  PILI-PILI,G,29
266,279,DZUMANZO,G,30
267,280,FALWANO,G,30
268,281,FAMPIE,G,30
269,282,FAMPUNI,G,30
270,283,KIBWADI,G,30
271,284,KIBWANGA,G,30
272,285,KIMBAU,G,30
273,286,KIMBIMBI,G,30
274,287,KIMBUMA,G,30
275,288,KIMOBO,G,30
276,289,KIMPINI,G,30
277,290,KINDONGO KIBAY,G,30
278,291,KINDONGO MBE,G,30
279,292,KINSHU,G,30
280,293,KISALA,G,30
281,294,MBAYA MBIMBI,G,30
282,295,MBENDE,G,30
283,296,MUSUNI,G,30
284,297,MUTOMBO,G,30
285,298,NDAMO,G,30
286,299,NDANA,G,30
287,300,NGULI,G,30
288,301,NGWEME,G,30
289,302,PIMBILI,G,30
290,303,WE,G,30
291,304,BALULA,G,31
292,306,FADIAKA,G,31
293,307,FAKAMBA,G,31
294,308,FAKANA,G,31
295,309,FAMBEMBE,G,31
296,310,FAYALA,G,31
297,311,KALAKITINI,G,31
298,312,KINKUTU,G,31
299,313,KISIA  NGASI,G,31
300,314,MBONGA,G,31
301,315,MUMBENGA,G,31
302,316,NGONDI,G,31
303,317,NGULU,G,31
304,318,SHIMUNA,G,31
305,319,SIMBA,G,31
306,320,ZANGA,G,31
307,324,AMBURA,G,32
308,325,DWE,G,32
309,326,KIMPUTU,G,32
310,327,MAYOKO  SAKA-SAKA,G,32
311,328,MBELO,G,32
312,329,MIKINGI,G,32
313,330,MILUNDU,G,32
314,331,MUBOLO,G,32
315,332,MUYENE,G,32
